Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
Centering Equity in Data Science Education,https://justequations.org/session/centering-equity-in-data-science-education, This session will explore key challenges and opportunities to advance equity in data science education from multiple perspectives. ,Just Equations,Learn & Teach,Video,"Diversity,Ethics & Bias,Data Science for Good",English
Central Limit Theorem,"https://sphweb.bumc.bu.edu/otlt/mph-modules/bs/bs704_probability/BS704_Probability12.html#:~:text=The%20central%20limit%20theorem%20states,will%20be%20approximately%20normally%20distributed.","The central limit theorem states that if you have a population with mean _ and standard deviation _ and take sufficiently large random samples from the population with replacementtext annotation indicator, then the distribution of the sample means will be approximately normally distributed. ",Boston University School of Public Health,Learn & Teach,Article or Journal,"Statistics,Probability",English
"Certificado Profesional en
IBM: ciencia de datos",https://www.edx.org/professional-certificate/ibm-ciencia-de-datos,"Al completar este programa de Certificación Profesional, contarás con las habilidades y la experiencia que necesitas para comenzar tu carrera profesional en la ciencia de datos y el aprendizaje automático.",IBM,Learn & Teach,Certification,Data Science Careers,Spanish
Chartability for Accessible Visualizations,https://chartability.fizz.studio/,"Chartability is a set of heuristics (testable questions) for ensuring that data visualizations, systems, and interfaces are accessible. Chartability is organized into principles with testable criteria and focused on creating an outcome that is an inclusive data experience for people with disabilities.",Chartability ,Learn & Teach,"Research Guide,Accessibility Resources","Diversity,Accessibility & Data Science",English
"Chase to Cross-sell Credit Card Insurance to Card Holders
",https://alstonrussell.typepad.com/blog/2012/01/chase-to-cross-sell-credit-card-insurance-to-card-holders.html,Use this data science challenge to strengthen your math skills.,Alston Russell,Research & Practice,Data Science Challenge / Project,Math Fundamentals,English
CheckiO ClassRooms,https://checkio.org/teachers/,Use a high school-level resource for teaching data science to your students with coding games to improve their abilities in Python and TypeScript!,CheckiO,Learn & Teach,Curriculum,"Python,TypeScript",English
Chegg Internship,https://www.internships.com/,Find internships and entry-level jobs for recent college graduates with Chegg.,Chegg,Network & Explore,Career Resources,Data Science Careers,English
ChemIDplus Chemical Data,https://chem.nlm.nih.gov/chemidplus/category/contains/covid,"ChemIDplus is a free, web search system that provides access to the structure and nomenclature authority files used for the identification of chemical substances cited in National Library of Medicine (NLM) databases.",NIH,Research & Practice,Dataset,"COVID,Bioinformatics",English
China COVID-19 Health Data,https://covid19.who.int/region/wpro/country/cn,COVID-19 Data Visualizations related to China.,World Health Organization (WHO),Research & Practice,Dataset,"COVID,Data Visualization",English
China National Center for Bioinformation Novel Coronavirus Resource,https://bigd.big.ac.cn/ncov/?lang=en,"RCoV19 features comprehensive integration of genomic and proteomic sequences as well as their metadata information from the GISAID, NCBI, NMDC and CNCB/NGDC.",National Genomics Data Center,Research & Practice,Dataset,"COVID,Bioinformatics",English
Chris Engelhardt’s Github Data Sci Guide,https://github.com/Chris-Engelhardt/data_sci_guide,Learn more about data science using this Github study guide.,Chris Engelhardt,Learn & Teach,"Tutorial,Curriculum,Course","Data Science Basics,R,Data Visualization,Python,SQL",English
Ciclo de vida de los datos,http://datascience.recursos.uoc.edu/es/ciclo-de-vida-de-los-datos/,"Desde el momento de su creación o generación, los datos siguen un ciclo de vida hasta que se publican para su diseminación y también se integran en la implementación de los modelos creados.",Universitat Oberta de Catalunya,Research & Practice,Research Guide,Accessibility & Data Science,Spanish
Ciencia de datos en Google Cloud,https://cloud.google.com/data-science?hl=es,"Un paquete completo de herramientas de gestión de datos, analíticas y aprendizaje automático para generar información valiosa y extraer valor de los datos.",Google,Learn & Teach,Certification,Data Science Careers,Spanish
Ciencia de Datos en Salud,https://www.fundacionmedife.com.ar/CienciadeDatosenSalud,"Nos incorporamos a una alianza única en Argentina con otras instituciones vinculadas a la salud y a la ingeniería de sistemas que permitirá contribuir a la comprensión del impacto de los grandes datos en el área de la salud, fomentando la innovación tecnológica y científica.",Fundacion Medife,Research & Practice,"Research Guide,Tutorial","AI,Big Data",Spanish
Citizen Science,https://www.citizenscience.gov/#,Citizen Science is an official government website designed to accelerate the use of crowdsourcing and citizen science across the U.S. government. Join to participate in data science challenges and projects. ,Citizen Science,Learn & Teach,Data Science Challenge / Project,"Data Science Basics,Data Science for Good",English
Clasificacion con Scikit Learn,https://joserzapata.github.io/courses/python-ciencia-datos/clasificacion/,Obtenga información sobre algoritmos de clasificación populares en Scikit Learn. ,Jose R. Zapata,Research & Practice,"Research Guide,Tutorial","Machine Learning,Python",Spanish
Climate Change Datasets for Data Science Projects,https://hackernoon.com/top-datasets-on-climate-change-for-data-science-projects-rzz34p0,"Visualizations and models to measure and track the change in surface temperatures, sea ice levels, and more. Many of these datasets have been made public to allow people to contribute and add valuable insight into the way the climate is changing and its causes. ",Limarc Ambalina,Research & Practice,Dataset,"Climate Change & Environment,Data Science for Good",English
Climate Data Library,https://iridl.ldeo.columbia.edu/,"The IRI Data Library is a powerful and freely accessible online data repository and analysis tool that allows a user to view, analyze, and download hundreds of terabytes of climate-related data through a standard web browser.",Columbia University,Research & Practice,Dataset,"Climate Change & Environment,Data Visualization,Data Analysis,Data Modeling,Quantitative Reasoning,Data Science for Good",English
Clustering con Scikit Learn,https://joserzapata.github.io/courses/python-ciencia-datos/clustering/,Aprenda sobre algoritmos de agrupamiento populares a través de Scikit Learn. ,Jose R. Zapata,Research & Practice,"Research Guide,Tutorial","Machine Learning,Python",Spanish
Code Signal,https://codesignal.com/,"CodeSignal is the leading technical interview and assessment solution, helping the world go beyond the noise in technical recruiting.",Code Signal,Network & Explore,Career Resources,Data Science Careers,English
Code with Google,https://edu.google.com/code-with-google/,"Code with Google ensures everyone has access to the collaborative, coding, and technical skills that can unlock opportunities in the classroom and beyond.",Google,Learn & Teach,"Tutorial,Curriculum",Coding,English
CodeMonkey,https://www.codemonkey.com/teachers/,Teach data science to kids from Pre-K to 8th grade!,Code Monkey,Learn & Teach,"Tutorial,Curriculum",Coding,English
CodinGame,https://www.codingame.com/start,Learn CSS by playing a game!,Codin Game,Research & Practice,Game,"CSS,Coding",English
Cognitive Class with Data Science and AI,https://cognitiveclass.ai/,"This is a great resource for learning about the latest developments in data science, AI, cloud, blockchain, docker, Kubernetes, quantum computing and more. Earn certificates and badges and learn industry skills. Learning paths cover big data fundamentals, data science fundamentals, data science with python, blockchain for developers, containers, and reactive architecture foundations.",Cognitive Class,Learn & Teach,"Course,Tutorial","Data Science Basics,AI,Kubernetes,Big Data,R,Apache",English
Cognitive Computing: Theory and Applications,https://shop.elsevier.com/books/cognitive-computing-theory-and-applications/raghavan/978-0-444-63744-4,"Cognitive Computing: Theory and Applications, written by internationally renowned experts, focuses on cognitive computing and its theory and applications, including the use of cognitive computing to manage renewable energy, the environment, and other scarce resources, machine learning models and algorithms, biometrics, Kernel Based Models for transductive learning, neural networks, graph analytics in cyber security, neural networks, data driven speech recognition, and analytical platforms to study the brain-computer interface.","Vijay V Raghavan,Venkat N. Gudivada,Venu Govindaraju, C.R. Rao",Learn & Teach,Book,Statistics,English
Color Contrast Checker in Excel,https://policyviz.com/2022/11/01/color-contrast-checker-in-excel/,Accessible color schemes for Excel visualizations,Jon Schwabish,Learn & Teach,Article or Journal,Accessibility & Data Science,English
Columbia University Libraries Health Data Resources,https://guides.library.columbia.edu/HealthData,A collection of health related datasets hosted on the Columbia University Libraries website,Columbia University,Research & Practice,Dataset,Public Health,English
Common Online Data Analysis Platform (CODAP),https://concord.org/our-work/research-projects/codap/,CODAP is a free web-based data tool designed as a platform for developers and as an application for students in grades 6–14.,Common Online Data Analysis Platform (CODAP),Learn & Teach,Curriculum,"Data Science Basics,Math Fundamentals",English
